city_st,ndvi_mean18,ndvi_sd18,Consolidated,ndvi_mean13,ndvi_sd13,diff
Midland_TX,0.5467653579179305,0.303540863893548,N,0.26645046511600473,0.09905014206587975,0.28031489280192573
Odessa_TX,0.5125580304555111,0.3102755268944691,N,0.24706223347083495,0.09566474951838148,0.2654957969846761
Victorville_CA,0.4096352076015409,0.3710326364003027,N,0.14804226463379208,0.0815578370171536,0.2615929429677488
Reno_NV,0.5246098429761962,0.3319460084403077,N,0.27598098510690633,0.14681170692810955,0.24862885786928984
Fontana_CA,0.4975957033526726,0.3378258390447916,N,0.24995267145595446,0.11136741838651468,0.24764303189671816
Rialto_CA,0.48360186003343925,0.3410988772139965,N,0.2463688041156257,0.10946074113551235,0.23723305591781355
Jurupa Valley_CA,0.5202211843144913,0.3144766984841694,N,0.2868891153674118,0.14442732459791935,0.23333206894707947
San Bernardino_CA,0.49855017224343046,0.32122279768403506,N,0.2893610372843687,0.14020944472871494,0.20918913495906177
Rancho Cucamonga_CA,0.5008165382721397,0.3277596691532408,N,0.30061300557482346,0.13102080169887625,0.20020353269731622
Riverside_CA,0.5195767255133652,0.3094162788204839,N,0.31991819032903296,0.13770357999607116,0.19965853518433224
