system:index,city_st,ndvi_mean13,ndvi_sd13,.geo
00009c76eeb5bde109bf,St. Paul_MN,0.5167394146192681,0.17962395218247854,
0000c5ef5a8e051aea5c,Minneapolis_MN,0.4617719826168173,0.16927401805242331,
0000822fa0a4f7bad082,Fargo_ND,0.5287524224923639,0.19731406807713225,
00003333ad3ea2925ccf,Billings_MT,0.42620159585528206,0.1648535582998122,
0000fec0478e736448c4,Everett_WA,0.5434433678390499,0.21714491351280477,
000094ee982e31bb0d69,Seattle_WA,0.42934176329831636,0.2219039208430854,
0000c151ae652cd88b0f,Renton_WA,0.5405331567805575,0.19272482119913237,
0000ad277cf162dbb590,Tacoma_WA,0.48200063570079826,0.19879347468996125,
00000309fe1122536539,Kent_WA,0.546266210898096,0.19907883201621274,
00004afb172d0b5b9a16,Bellevue_WA,0.5817619451166245,0.17037196394682588,
00005121e6de7a0e7014,Hillsboro_OR,0.5356437452859654,0.1732743354142598,
0000b703480b48d46412,Portland_OR,0.5055088452491614,0.21250833910229658,
0000303160854587bdbc,Salem_OR,0.5326985006354708,0.18223117655795232,
00006006fc1559b38e97,Gresham_OR,0.5486951085779824,0.17613960610491133,
00008cbfe4dd48333c29,Vancouver_WA,0.5008631505285284,0.190767420433891,
0000bef7342779525ee3,Spokane_WA,0.4487628584329838,0.1596706540337664,
00000bc49cd1d4a7174a,Boise City_ID,0.39905585493126094,0.15999215951534165,
0000257ef9dc449e8c67,Eugene_OR,0.5385366794488393,0.1773179375152733,
0000d83e938c84092af3,Santa Rosa_CA,0.4958372746483587,0.18516922796213667,
0000466a11e7e5151c9a,Vallejo_CA,0.4220876571984746,0.17949623942936888,
0000280f3f73e9e5523e,Fairfield_CA,0.47212764763760373,0.1955584152615756,
00004ec377a6e026c314,Antioch_CA,0.4109243894638228,0.18093444365242822,
0000aa3f866e509ff5d9,Concord_CA,0.4544352645575073,0.1734721910767075,
00004d06f4e468d2e31f,Richmond_CA,0.4222858392295253,0.2415882358781087,
000015e3311acf0cb74d,Berkeley_CA,0.3752238920364584,0.1722611609664417,
0000d5b94065c4f57d9c,Oakland_CA,0.359711726197346,0.21846739686949868,
000032154294393b2db9,San Francisco_CA,0.2721240696032469,0.1974434416525121,
00007080972a02224cea,Salinas_CA,0.3926329421484315,0.21181135672674783,
0000fe61541e2c38d12d,San Jose_CA,0.38334931704984676,0.19178836907217592,
0000a8e7d049a638234b,Daly City_CA,0.3329975415431284,0.1903839814237804,
0000570c6fa31b6f510b,Hayward_CA,0.3407074859158605,0.23144275684093893,
00000296c11456335f89,Fremont_CA,0.3664254537512639,0.2256278966198437,
000007cebb683b6682e5,San Mateo_CA,0.35467369642939156,0.17222388438616337,
0000ec242c5711a6dcfb,Sunnyvale_CA,0.31736575113846915,0.14369460285697677,
0000d51ff65667e9c6b1,Santa Clara_CA,0.3107684918137756,0.1535593749500663,
000054da56925b0c2e96,Stockton_CA,0.3875434568449126,0.20271011027421992,
0000849855395a64ffb9,Modesto_CA,0.4227240604022675,0.19534013014565801,
00008c701c76dacf4437,Clovis_CA,0.3510185268063525,0.1277393786983723,
0000a5fee7f79671d921,Fresno_CA,0.34488595908013187,0.14687689444150281,
000059929dc460703e97,Visalia_CA,0.38452604637636245,0.16819021593813108,
000070098cc66d4ae4b8,Reno_NV,0.27598098510690633,0.14681170692810955,
0000acc666afed7b4c08,Elk Grove_CA,0.4776993340454149,0.1932722885309807,
000082c3ff700d51cd38,Sacramento_CA,0.4188412751987512,0.19834690316317105,
000027825572dfab126b,Roseville_CA,0.4550152054224898,0.19487562048201118,
00007eb68aa554fde632,Lancaster_CA,0.2016245380267502,0.1534799873106003,
00003f7e73e9353e8dae,Palmdale_CA,0.19820999977867046,0.13235322177730177,
000051a893c5479e326b,Santa Clarita_CA,0.3127098004707783,0.13670071962297595,
000027a29ef9c9ba074b,Simi Valley_CA,0.353823403229227,0.1136909289595293,
0000468b8c5887e52666,Los Angeles_CA,0.31667916136173585,0.15836253017340238,
0000d19498439bd93508,Burbank_CA,0.30699097304086803,0.14475666089119474,
00003a68afed6df67f81,Torrance_CA,0.2532336374240617,0.12742680566849018,
0000541e4b52409a9aeb,Inglewood_CA,0.2520238942778298,0.13705170549832893,
00008fefd2720fa0f239,Glendale_CA,0.3768995624738723,0.1566307794838206,
000025a3c15fa46a30e3,Pasadena_CA,0.3868219846721693,0.1574213903786016,
0000a216604dd5922c23,Long Beach_CA,0.2563179425859417,0.15014317170262095,
00004de3d6a9c527a7c8,Downey_CA,0.28115317465035095,0.13157515630023756,
0000e6316af2b6e17375,El Monte_CA,0.23870818351480405,0.11181731126689291,
000078147e369735fe47,Norwalk_CA,0.25337104672273014,0.11181724675317942,
00007b2e5c08cbe20fe6,West Covina_CA,0.34658954832758826,0.12328397817563876,
0000838e429f5e231c4f,Pomona_CA,0.30068704777557376,0.1434580260944985,
0000463fa0d82ffb6432,Ontario_CA,0.28098842053609474,0.1617541491279571,
00003d82bcc4349018df,Rancho Cucamonga_CA,0.30061300557482346,0.13102080169887625,
0000f549f13cd7ab1040,Jurupa Valley_CA,0.2868891153674118,0.14442732459791935,
00006a3560cab1fda220,Fontana_CA,0.24995267145595446,0.11136741838651468,
000073de5dd98ee9dfb1,Rialto_CA,0.2463688041156257,0.10946074113551235,
0000c2b8093dac933513,San Bernardino_CA,0.2893610372843687,0.14020944472871494,
000044553ae7a5762c10,Victorville_CA,0.14804226463379208,0.0815578370171536,
0000764e4e883b88a862,Las Vegas_NV,0.1879720532278972,0.11547858195148529,
