system:index,city_st,ndvi_mean18,ndvi_sd18,.geo
00009c76eeb5bde109bf,St. Paul_MN,0.511450800122755,0.1929808972981632,
0000c5ef5a8e051aea5c,Minneapolis_MN,0.4580653279089699,0.18306745478382264,
0000822fa0a4f7bad082,Fargo_ND,0.4903222731035273,0.1848235684646184,
00003333ad3ea2925ccf,Billings_MT,0.44875869689405146,0.1691647270329947,
0000fec0478e736448c4,Everett_WA,0.5162251642721601,0.22528846465862448,
000094ee982e31bb0d69,Seattle_WA,0.40722571422387854,0.2182277474883683,
0000c151ae652cd88b0f,Renton_WA,0.5218649984456373,0.19628248780202046,
0000ad277cf162dbb590,Tacoma_WA,0.4560122318101727,0.1948255576356916,
00000309fe1122536539,Kent_WA,0.5257384589214504,0.20667438252546702,
00004afb172d0b5b9a16,Bellevue_WA,0.5528290696905308,0.17344972549559853,
00005121e6de7a0e7014,Hillsboro_OR,0.5110506765161966,0.17935452047618874,
0000b703480b48d46412,Portland_OR,0.4861324351788186,0.2222163837826117,
0000303160854587bdbc,Salem_OR,0.522928433484651,0.18652085442275604,
00006006fc1559b38e97,Gresham_OR,0.516587673432333,0.18915558839921207,
00008cbfe4dd48333c29,Vancouver_WA,0.47416186564761553,0.20380729450164178,
0000bef7342779525ee3,Spokane_WA,0.4344747009200937,0.15400196945218683,
00000bc49cd1d4a7174a,Boise City_ID,0.420715588618482,0.15760436423867977,
0000257ef9dc449e8c67,Eugene_OR,0.5229446404369026,0.17413599001583807,
0000d83e938c84092af3,Santa Rosa_CA,0.485283959109973,0.18732803847407578,
0000466a11e7e5151c9a,Vallejo_CA,0.4520126799488422,0.19013951724660577,
0000280f3f73e9e5523e,Fairfield_CA,0.49967055042768044,0.1999689393080789,
00004ec377a6e026c314,Antioch_CA,0.43990606143010014,0.18869352225053102,
0000aa3f866e509ff5d9,Concord_CA,0.4788253814536332,0.18930336296875014,
00004d06f4e468d2e31f,Richmond_CA,0.42815067081715796,0.23518924165055569,
000015e3311acf0cb74d,Berkeley_CA,0.36925842559426925,0.1686107344146935,
0000d5b94065c4f57d9c,Oakland_CA,0.3569581263210393,0.21440968116208606,
000032154294393b2db9,San Francisco_CA,0.2841875249259639,0.19935831285266614,
00007080972a02224cea,Salinas_CA,0.4069094581715283,0.2142581301490834,
0000fe61541e2c38d12d,San Jose_CA,0.3907313581718624,0.19853647325169602,
0000a8e7d049a638234b,Daly City_CA,0.340441024384517,0.19159324193112673,
0000570c6fa31b6f510b,Hayward_CA,0.36000958901275304,0.2280216982931952,
00000296c11456335f89,Fremont_CA,0.38257094310378176,0.24038577552926618,
000007cebb683b6682e5,San Mateo_CA,0.3453161125689271,0.17015362740606813,
0000ec242c5711a6dcfb,Sunnyvale_CA,0.3076255157827948,0.1437454930547971,
0000d51ff65667e9c6b1,Santa Clara_CA,0.29916465030339395,0.1541290600461429,
000054da56925b0c2e96,Stockton_CA,0.40098174063939945,0.19783842846742,
0000849855395a64ffb9,Modesto_CA,0.43137551839281796,0.1943185359546946,
00008c701c76dacf4437,Clovis_CA,0.5314237370692646,0.3096539428353015,
0000a5fee7f79671d921,Fresno_CA,0.5386240249989874,0.311795274324436,
000059929dc460703e97,Visalia_CA,0.5565185529284633,0.3050043909432816,
000070098cc66d4ae4b8,Reno_NV,0.5246098429761962,0.3319460084403077,
0000acc666afed7b4c08,Elk Grove_CA,0.48642538378243233,0.19179988855905175,
000082c3ff700d51cd38,Sacramento_CA,0.4185050549504026,0.1776472049947463,
000027825572dfab126b,Roseville_CA,0.4514086314580108,0.19557168525670404,
00007eb68aa554fde632,Lancaster_CA,0.2580786870385338,0.14674433593623928,
00003f7e73e9353e8dae,Palmdale_CA,0.250242631933878,0.1407297584913028,
000051a893c5479e326b,Santa Clarita_CA,0.34372670657016324,0.13463589918560437,
000027a29ef9c9ba074b,Simi Valley_CA,0.3798910288354663,0.1271314360448001,
0000468b8c5887e52666,Los Angeles_CA,0.31422356322706485,0.1595807119276234,
0000d19498439bd93508,Burbank_CA,0.2910790258989734,0.13141491979014877,
00003a68afed6df67f81,Torrance_CA,0.24582206517766103,0.12892570115225746,
0000541e4b52409a9aeb,Inglewood_CA,0.2369054309599455,0.13452285499723649,
00008fefd2720fa0f239,Glendale_CA,0.36903286296523,0.15065651359923984,
000025a3c15fa46a30e3,Pasadena_CA,0.37321266415805093,0.1535773647392337,
0000a216604dd5922c23,Long Beach_CA,0.24887321943219656,0.1469049617091832,
00004de3d6a9c527a7c8,Downey_CA,0.27005177965316274,0.12942831627854648,
0000e6316af2b6e17375,El Monte_CA,0.22841181795903337,0.10725642871360633,
000078147e369735fe47,Norwalk_CA,0.2410476931605459,0.11559534569130471,
00007b2e5c08cbe20fe6,West Covina_CA,0.344371577576674,0.1332245026387993,
0000838e429f5e231c4f,Pomona_CA,0.3056155510194639,0.14988686726111758,
0000463fa0d82ffb6432,Ontario_CA,0.41453894887073833,0.295647975466154,
00003d82bcc4349018df,Rancho Cucamonga_CA,0.5008165382721397,0.3277596691532408,
0000f549f13cd7ab1040,Jurupa Valley_CA,0.5202211843144913,0.3144766984841694,
00006a3560cab1fda220,Fontana_CA,0.4975957033526726,0.3378258390447916,
000073de5dd98ee9dfb1,Rialto_CA,0.48360186003343925,0.3410988772139965,
0000c2b8093dac933513,San Bernardino_CA,0.49855017224343046,0.32122279768403506,
000044553ae7a5762c10,Victorville_CA,0.4096352076015409,0.3710326364003027,
0000764e4e883b88a862,Las Vegas_NV,0.18378962580890584,0.11071000182530989,
