city_st,ndvi_mean18,ndvi_sd18,Consolidated
North Las Vegas_NV,0.14162538074011577,0.07087478447645544,N
Henderson_NV,0.1790090653336676,0.10931950282273237,N
Las Vegas_NV,0.18378962580890584,0.11071000182530989,N
El Paso_TX,0.20232327612662615,0.10408885696243216,N
Las Cruces_NM,0.2097436917950857,0.08350860103046522,N
El Monte_CA,0.22841181795903337,0.10725642871360633,N
Tucson_AZ,0.22955902011147755,0.09814576682041273,N
Albuquerque_NM,0.2345400141316277,0.11547248782404503,N
Inglewood_CA,0.2369054309599455,0.13452285499723649,N
Norwalk_CA,0.2410476931605459,0.11559534569130471,N
