city_st,ndvi_mean18,ndvi_sd18,Consolidated,ndvi_mean13,ndvi_sd13,diff
Frisco_TX,0.4499404848899548,0.17060385190989868,N,0.5100687597308347,0.1870382489064156,-0.06012827484087985
Thornton_CO,0.3885088470834903,0.14468193731422696,N,0.4382469175562031,0.15579087915500336,-0.04973807047271278
Westminster_CO,0.4094134406017187,0.15524953129335214,N,0.45653414979323065,0.16673655509914045,-0.047120709191511956
Aurora_CO,0.37356435193962934,0.13113958997614705,N,0.4185572270879546,0.14984419770714405,-0.044992875148325284
Denver_CO,0.36042689069443407,0.16586280121538235,Y,0.401558975420653,0.17381489071131756,-0.04113208472621893
Fargo_ND,0.4903222731035273,0.1848235684646184,N,0.5287524224923639,0.19731406807713225,-0.0384301493888366
West Valley City_UT,0.3398773813371917,0.14151676241607422,N,0.374409204336385,0.15171186867828051,-0.03453182299919333
Las Cruces_NM,0.2097436917950857,0.08350860103046522,N,0.24393692505459003,0.09385828960158013,-0.034193233259504324
West Jordan_UT,0.3547319242095525,0.14229636837082962,N,0.38850616310569847,0.14719508732907058,-0.03377423889614595
Centennial_CO,0.4396272012342308,0.13943155223686682,N,0.47262553895364784,0.1486781549529427,-0.032998337719417015
